"Date","facility_name","Admissions","Attendance","Tri_1","Tri_2","Tri_3","Tri_4","Tri_5"
2013-07-01,"Royal Perth Hospital",99,235,8,33,89,85,20
2013-07-01,"Fremantle Hospital",70,155,0,25,67,54,9
2013-07-01,"Princess Margaret Hospital For Children",59,252,0,13,75,159,4
2013-07-01,"King Edward Memorial Hospital For Women",6,52,0,0,7,20,25
2013-07-01,"Sir Charles Gairdner Hospital",109,209,0,42,108,47,11
2013-07-01,"Armadale/Kelmscott District Memorial Hospital",19,166,0,16,62,79,9
2013-07-01,"Swan District Hospital",17,133,0,29,59,42,0
2013-07-01,"Rockingham General Hospital",10,155,0,12,51,81,11
2013-07-01,"Joondalup Health Campus",73,267,0,27,75,151,12
2013-07-02,"Royal Perth Hospital",97,209,0,41,73,80,14
2013-07-02,"Fremantle Hospital",56,145,0,22,51,47,24
2013-07-02,"Princess Margaret Hospital For Children",47,219,0,14,61,139,4
2013-07-02,"King Edward Memorial Hospital For Women",7,43,0,0,0,25,17
2013-07-02,"Sir Charles Gairdner Hospital",112,184,0,43,73,61,5
2013-07-02,"Armadale/Kelmscott District Memorial Hospital",25,175,0,26,73,55,19
2013-07-02,"Swan District Hospital",25,129,0,25,57,43,4
2013-07-02,"Rockingham General Hospital",24,145,0,26,45,65,8
2013-07-02,"Joondalup Health Campus",81,241,0,23,78,133,7
2013-07-03,"Royal Perth Hospital",84,204,7,40,72,79,6
2013-07-03,"Fremantle Hospital",60,118,0,24,37,43,12
2013-07-03,"Princess Margaret Hospital For Children",31,186,0,11,53,120,0
2013-07-03,"King Edward Memorial Hospital For Women",5,55,0,0,4,23,28
2013-07-03,"Sir Charles Gairdner Hospital",102,171,0,49,69,48,3
2013-07-03,"Armadale/Kelmscott District Memorial Hospital",11,145,0,19,62,60,4
2013-07-03,"Swan District Hospital",7,126,3,24,42,55,0
2013-07-03,"Rockingham General Hospital",14,151,0,10,50,87,3
2013-07-03,"Joondalup Health Campus",67,213,0,29,66,99,17
2013-07-04,"Royal Perth Hospital",106,199,3,37,73,70,15
2013-07-04,"Fremantle Hospital",61,125,0,21,47,42,14
2013-07-04,"Princess Margaret Hospital For Children",41,192,0,8,57,126,0
2013-07-04,"King Edward Memorial Hospital For Women",6,42,0,0,7,21,14
2013-07-04,"Sir Charles Gairdner Hospital",89,153,6,35,57,46,9
2013-07-04,"Armadale/Kelmscott District Memorial Hospital",15,144,0,15,48,69,12
2013-07-04,"Swan District Hospital",19,108,0,14,45,43,6
2013-07-04,"Rockingham General Hospital",15,129,0,24,45,55,4
2013-07-04,"Joondalup Health Campus",72,227,5,26,68,117,11
2013-07-05,"Royal Perth Hospital",96,193,4,40,76,62,11
2013-07-05,"Fremantle Hospital",58,136,4,23,51,45,13
2013-07-05,"Princess Margaret Hospital For Children",42,201,0,14,53,130,0
2013-07-05,"King Edward Memorial Hospital For Women",3,64,0,0,5,36,22
2013-07-05,"Sir Charles Gairdner Hospital",117,167,7,39,70,46,5
2013-07-05,"Armadale/Kelmscott District Memorial Hospital",18,147,0,17,59,63,7
2013-07-05,"Swan District Hospital",24,122,3,15,61,37,6
2013-07-05,"Rockingham General Hospital",12,122,0,19,46,53,4
2013-07-05,"Joondalup Health Campus",71,229,0,37,80,106,4
2013-07-06,"Royal Perth Hospital",87,210,3,29,68,102,8
2013-07-06,"Fremantle Hospital",57,156,0,27,71,50,7
2013-07-06,"Princess Margaret Hospital For Children",35,206,0,3,47,153,0
2013-07-06,"King Edward Memorial Hospital For Women",6,28,0,0,4,16,8
2013-07-06,"Sir Charles Gairdner Hospital",107,178,0,33,85,57,0
2013-07-06,"Armadale/Kelmscott District Memorial Hospital",18,144,3,19,61,59,0
2013-07-06,"Swan District Hospital",28,119,0,18,57,40,3
2013-07-06,"Rockingham General Hospital",16,137,0,14,43,76,3
2013-07-06,"Joondalup Health Campus",66,257,0,30,97,123,6
2013-07-07,"Royal Perth Hospital",78,196,4,21,90,66,15
2013-07-07,"Fremantle Hospital",58,158,0,25,68,55,9
2013-07-07,"Princess Margaret Hospital For Children",37,196,0,5,54,135,0
2013-07-07,"King Edward Memorial Hospital For Women",5,30,0,0,3,21,5
2013-07-07,"Sir Charles Gairdner Hospital",94,156,4,42,72,35,3
2013-07-07,"Armadale/Kelmscott District Memorial Hospital",17,172,0,19,59,81,13
2013-07-07,"Swan District Hospital",21,127,0,16,47,53,9
2013-07-07,"Rockingham General Hospital",13,158,0,12,54,84,7
2013-07-07,"Joondalup Health Campus",60,249,0,23,98,116,11
2013-07-08,"Royal Perth Hospital",93,229,5,46,87,68,23
2013-07-08,"Fremantle Hospital",72,166,0,35,66,53,12
2013-07-08,"Princess Margaret Hospital For Children",36,163,0,9,38,113,0
2013-07-08,"King Edward Memorial Hospital For Women",4,47,0,0,5,11,31
2013-07-08,"Sir Charles Gairdner Hospital",121,181,3,54,97,26,0
2013-07-08,"Armadale/Kelmscott District Memorial Hospital",23,165,0,26,66,62,11
2013-07-08,"Swan District Hospital",19,127,0,18,49,49,10
2013-07-08,"Rockingham General Hospital",11,134,0,22,41,68,0
2013-07-08,"Joondalup Health Campus",81,245,0,36,78,116,13
2013-07-09,"Royal Perth Hospital",77,213,3,33,74,90,13
2013-07-09,"Fremantle Hospital",56,133,3,24,51,40,15
2013-07-09,"Princess Margaret Hospital For Children",30,162,0,4,35,121,0
2013-07-09,"King Edward Memorial Hospital For Women",3,48,0,0,5,21,22
2013-07-09,"Sir Charles Gairdner Hospital",100,158,3,50,74,29,0
2013-07-09,"Armadale/Kelmscott District Memorial Hospital",21,142,0,25,48,55,14
2013-07-09,"Swan District Hospital",15,105,4,29,29,36,7
2013-07-09,"Rockingham General Hospital",12,128,0,21,47,53,7
2013-07-09,"Joondalup Health Campus",69,210,0,27,71,108,3
2013-07-10,"Royal Perth Hospital",75,179,5,41,63,63,7
